Głupiec=nowe początki, niewinność, spontaniczność, wolny duch, skok w nieznane
Ósemka Kielichów=odejście, rozczarowanie, wycofanie, opuszczenie, głębszy sens
Dziewiątka Kielichów=satysfakcja, spełnienie emocjonalne, spełnione życzenie, zadowolenie
Dziesiątka Kielichów=harmonia, rodzina, szczęście, zgodność, spełnienie emocjonalne
Paź Kielichów=kreatywne możliwości, intuicja, wrażliwość, nowe emocje
Rycerz Kielichów=romans, urok, podążanie za sercem, wyobraźnia
Królowa Kielichów=empatia, współczucie, bezpieczeństwo emocjonalne, intuicja, troska
Król Kielichów=równowaga emocjonalna, dyplomacja, mądrość, spokój, współczucie
As Mieczy=jasność, prawda, przełom, siła umysłu, decyzja
Dwójka Mieczy=niezdecydowanie, zablokowane emocje, impas, unikanie
Trójka Mieczy=złamane serce, smutek, żal, ból, zdrada
Czwórka Mieczy=odpoczynek, regeneracja, kontemplacja, spokój, schronienie
Piątka Mieczy=konflikt, porażka, zwycięstwo za wszelką cenę, zdrada, napięcie
Szóstka Mieczy=przejście, iść naprzód, zostawić za sobą, podróż, spokój po burzy
Siódemka Mieczy=oszustwo, strategia, podstęp, zdrada, przebiegłość
Ósemka Mieczy=ograniczenie, uwięzienie, bezradność, wiktymizacja
Dziewiątka Mieczy=lęk, strach, rozpacz, koszmary, zmartwienie
Dziesiątka Mieczy=bolesne zakończenie, zdrada, kryzys, osiągnięcie dna, strata
Paź Mieczy=ciekawość, dowcip, nowe pomysły, komunikacja, czujność
Rycerz Mieczy=ambicja, działanie, zdeterminowany, skupienie, szybkość
Królowa Mieczy=niezależność, jasny umysł, bezpośredniość, szczerość, ostrość
Król Mieczy=jasność, autorytet, prawda, intelektualna siła, osąd
As Monet=szansa, pomyślność, nowe przedsięwzięcie, obfitość, bezpieczeństwo
Dwójka Monet=równowaga, zdolność adaptacji, priorytetyzacja, zarządzanie czasem
Trójka Monet=praca zespołowa, współpraca, umiejętności, rzemiosło, nauka
Czwórka Monet=bezpieczeństwo, kontrola, oszczędność, zaborczość, gromadzenie
Piątka Monet=trudności, ubóstwo, izolacja, niedostatek, straty finansowe
Szóstka Monet=hojność, dawanie, dobroczynność, dzielenie się, pomyślność
Siódemka Monet=wytrwałość, inwestycja, perspektywa długoterminowa, cierpliwość, nagroda
Ósemka Monet=pilność, mistrzostwo, rozwój umiejętności, rzemiosło, skupienie
Dziewiątka Monet=obfitość, niezależność, luksus, samowystarczalność, wdzięczność
Dziesiątka Monet=bogactwo, dziedzictwo, rodzina, długoterminowy sukces, stabilność
Paź Monet=ambicja, pilność, nauka, nowa szansa, praktyczność
Rycerz Monet=efektywność, rutyna, niezawodność, metodyczność, konserwatyzm
Królowa Monet=opiekuńczość, praktyczność, ochrona, obfitość, realizm
Król Monet=bogactwo, biznes, przywództwo, bezpieczeństwo, obfitość
