Der Narr=neue Anfänge, Unschuld, Spontanität, freier Geist, Vertrauensvorschuss
Acht der Stäbe=Geschwindigkeit, rasches Handeln, Bewegung, Reise, Kommunikation
Neun der Stäbe=Widerstandsfähigkeit, Mut, Beharrlichkeit, letzter Widerstand, Ausdauer
Zehn der Stäbe=Last, Verantwortung, harte Arbeit, Stress, Überforderung
Bube der Stäbe=Enthusiasmus, Erkundung, freier Geist, Entdeckung, neue Idee
Ritter der Stäbe=Handlung, Abenteuer, Mut, Leidenschaft, Impulsivität
Königin der Stäbe=Selbstvertrauen, Unabhängigkeit, Wärme, Entschlossenheit, Charisma
König der Stäbe=Vision, Führung, Unternehmer, kühn, Ehre
Ass der Kelche=neue Gefühle, Liebe, Intuition, Kreativität, spirituelle Verbindung
Zwei der Kelche=Partnerschaft, gegenseitige Anziehung, Verbindung, Vereinigung, Romantik
Drei der Kelche=Feier, Freundschaft, Gemeinschaft, Freude, Fülle
Vier der Kelche=Kontemplation, Apathie, Neubewertung, Rückzug, Langeweile
Fünf der Kelche=Verlust, Trauer, Bedauern, Enttäuschung, Kummer
Sechs der Kelche=Nostalgie, Kindheit, Unschuld, Wiedervereinigung, glückliche Erinnerungen
Sieben der Kelche=Fantasie, Illusion, Wunschdenken, Entscheidungen, Tagträumen
Acht der Kelche=Weggehen, Desillusionierung, Rückzug, Verlassen, tiefere Bedeutung
Neun der Kelche=Zufriedenheit, emotionale Erfüllung, Wunsch erfüllt, Genügsamkeit
Zehn der Kelche=Harmonie, Familie, Glück, Ausrichtung, emotionale Erfüllung
Bube der Kelche=kreative Möglichkeiten, Intuition, Sensibilität, neue Emotionen
Ritter der Kelche=Romantik, Charme, dem Herzen folgen, Vorstellungskraft
Königin der Kelche=Empathie, Mitgefühl, emotionale Sicherheit, Intuition, Fürsorge
König der Kelche=emotionale Balance, Diplomatie, Weisheit, Ruhe, Mitgefühl
Ass der Schwerter=Klarheit, Wahrheit, Durchbruch, mentale Kraft, Entscheidung
Zwei der Schwerter=Unentschlossenheit, blockierte Emotionen, Stillstand, Vermeidung
Drei der Schwerter=Liebeskummer, Kummer, Trauer, Schmerz, Verrat
Vier der Schwerter=Ruhe, Erholung, Kontemplation, Frieden, Zuflucht
Fünf der Schwerter=Konflikt, Niederlage, Sieg um jeden Preis, Verrat, Spannung
Sechs der Schwerter=Übergang, weiterziehen, hinter sich lassen, Reise, Ruhe nach dem Sturm
Sieben der Schwerter=Täuschung, Strategie, Heimlichkeit, Verrat, List
Acht der Schwerter=Einschränkung, Gefangenschaft, Hilflosigkeit, Selbstviktimisierung
Neun der Schwerter=Angst, Furcht, Verzweiflung, Albträume, Sorge
Zehn der Schwerter=schmerzhaftes Ende, Verrat, Krise, Tiefpunkt, Verlust
Bube der Schwerter=Neugier, Witz, neue Ideen, Kommunikation, Wachsamkeit
Ritter der Schwerter=Ehrgeiz, Handlung, zielstrebig, fokussiert, schnell
Königin der Schwerter=unabhängig, klar denkend, direkt, ehrlich, scharfsinnig
König der Schwerter=Klarheit, Autorität, Wahrheit, intellektuelle Kraft, Urteilsvermögen
Ass der Münzen=Gelegenheit, Wohlstand, neues Vorhaben, Fülle, Sicherheit
Zwei der Münzen=Gleichgewicht, Anpassungsfähigkeit, Priorisierung, Zeitmanagement
Drei der Münzen=Teamwork, Zusammenarbeit, Geschicklichkeit, Handwerkskunst, Lernen
Vier der Münzen=Sicherheit, Kontrolle, Bewahrung, Besitzgier, Sparen
Fünf der Münzen=Not, Armut, Isolation, Mangel, finanzieller Verlust
Sechs der Münzen=Großzügigkeit, Geben, Nächstenliebe, Teilen, Wohlstand
Sieben der Münzen=Ausdauer, Investition, langfristige Sicht, Geduld, Belohnung
Acht der Münzen=Fleiß, Meisterschaft, Kompetenzentwicklung, Handwerkskunst, Fokus
Neun der Münzen=Fülle, Unabhängigkeit, Luxus, Selbstversorgung, Dankbarkeit
Zehn der Münzen=Reichtum, Erbe, Familie, langfristiger Erfolg, Stabilität
Bube der Münzen=Ehrgeiz, Fleiß, Lernen, neue Gelegenheit, Praktikabilität
Ritter der Münzen=Effizienz, Routine, zuverlässig, methodisch, konservativ
Königin der Münzen=fürsorglich, praktisch, beschützend, reichlich, bodenständig
König der Münzen=Reichtum, Geschäft, Führung, Sicherheit, Fülle
